Title,Author(s),Publish Year,Subjects
Predicting Pregnancy Complications Through Artificial Intelligence and Machine Learning,"D. Satish Kumar, P. ManiIarasan",2023,"Artificial intelligence, Reproductive technology, Machine learning"
Conversations with a Chatbot,E. J. Gold,2023,Artificial intelligence
Learn AI-Assisted Python Programming,"Leo Porter, Daniel Zingaro",2023,"Expert systems (computer science), Python (computer program language), Artificial intelligence"
Computational Web Intelligence,"Y. -Q Zhang, Abraham Kandel, Y. Y. Yao",2004,Artificial intelligence
Multimodal Interface for Human-Machine Communication,"P. C. Yuen, Y. Y. Tang, P. S. P. Wang",2002,"Artificial intelligence, Human-computer interaction"
Grundlagen und Anwendungen der künstlichen Intelligenz,"German Workshop on Artificial Intelligence (17th 1993 Berlin, Germany)",1993,"Congresses, Artificial intelligence"
Improving accuracy by combining rule-based and case-based reasoning,Andrew R. Golding,1995,"Artificial intelligence, Expert systems, Knowledge representation"
Konnektionismus,Ulrich Schade,1992,"Artificial intelligence, Connectionism, Data processing, Psycholinguistics, Science"
Konnektionistische Sprachproduktion,Ulrich Schade,1999,"Artificial intelligence, Connectionism, Data processing, Psycholinguistics"
The intuitive algorithm,Abraham Thomas,1991,"Artificial intelligence, Intuition, Neuropsychology, Pattern perception"
AAAI-92,"National Conference on Artificial Intelligence (10th 1992 San Jose, Calif.)",1992,"Artificial intelligence, Congresses"
Introduction to artificial intelligence,Eugene Charniak,1985,"Artificial intelligence, Kunstmatige intelligentie, Einführung, Artificial Intelligence, Künstliche Intelligenz, Intelligence artificielle"
14th Information Retrieval Colloquium,BCS Information Retrieval Colloquium (14th 1992 University of Lancaster),1993,"Congresses, Database management, Information storage and retrieval systems, Computer science, Artificial intelligence"
Lectures notes on computer vision and artificial intelligence,"School on Computer Vision with the Elements of Artificial Intelligence (1989 Ma̦dralin, Poland)",1990,"Artificial intelligence, Computer vision, Congresses"
WWW,Robert J. Sawyer,2010,"Fiction, World Wide Web, Friendship in fiction, Administrative agencies, Teenage girls, National security in fiction, Administrative agencies in fiction, Artificial intelligence in fiction, World Wide Web in fiction, Friendship, Artificial intelligence, National security, Teenagers with visual disabilities in fiction, Teenagers with visual disabilities, Artificial Implants, Artificial implants in fiction, Teenage girls in fiction, Fiction, science fiction, general, United states, fiction"
Chance discoveries in real world decision making,"Yukio Ohsawa, Shusaku Tsumoto",2006,"Decision making, Data processing, Human-computer interaction, Engineering, Engineering mathematics, Artificial intelligence, Decision making, data processing"
Formal concept analysis,"Sergei O. Kuznetsov, Stefan Schmidt",2007,"Congresses, Lattice theory, Comprehension (Theory of knowledge), Mathematical models, Information theory, Artificial intelligence"
Intelligent interactive systems in knowledge-based environments,"Maria Virvou, L. C. Jain",2008,"Interactive computer systems, Artificial intelligence, Expert systems (Computer science), Systèmes conversationnels (Informatique), Intelligence artificielle, Systèmes experts (Informatique), Engineering, Engineering mathematics, Decision support systems, Expert systems (computer science)"
Artificial intelligence,James R. Slagle,1971,Artificial intelligence
Innovations in fuzzy clustering,"Mika Sato-Ilic, Lakhmi C. Jain",2006,"Soft computing, Fuzzy mathematics, Fuzzy logic, Fuzzy sets, Data mining, Engineering, Engineering mathematics, Artificial intelligence, Mathematics, Fuzzy systems"
2006 International Conference on Information and Automation,"International Conference on Information and Automation (2006 Colombo, Sri Lanka)",2006,"Congresses, Control system, Robots, Artificial intelligence, Automation, Control systems"
Conceptual structures,John F. Sowa,1983,"Conceptual structures (Information theory), Cognition, Human information processing, Artificial intelligence, Artificial Intelligence, Mental Processes"
The Mind and the machine,S. B. Torrance,1984,"Philosophy, Artificial intelligence"
The Turing test,James H. Moor,2003,"Turing test, Artificial intelligence, Philosophy (General), Philosophy of mind, Cybernetics, Kunstmatige intelligentie"
Socionics,Thomas Malsch,2005,"Social aspects, Computer systems, Intelligent agents (Computer software), Social systems, Computer networks, Intelligent agents (computer software), Artificial intelligence, Computer science"
Computational intelligence processing in medical diagnosis,"Manfred Schmitt, Horia-Nicolai Teodorescu, Ajita Jain, Sandhya Jain, Lakhmi C. Jain",2002,"Medical applications, Computer simulation, Artificial intelligence, Diagnosis"
Biological and artificial intelligence environments,M. Marinaro,2005,"Neural networks (Computer science), Artificial intelligence"
"Abstraction, reformulation, and approximation","Jean-Daniel Zucker, Lorenza Saitta",2005,"Congresses, Computer science, Artificial intelligence, Abstraction, Approximation theory"
"Ninth ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing","International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (9th 2008 Phuket, Thailand)",2008,"Wireless communication systems, Congresses, Software engineering, Artificial intelligence"
Artificial consciousness,Riccardo Manzotti,2007,"Conscious automata, Congresses, Artificial intelligence"
Adaptive learning of polynomial networks,"Nikolay Nikolaev, Hitoshi Iba",2006,"Bayesian statistical decision theory, Evolutionary computation, Neural networks (Computer science), Electronic data processing, Information theory, Artificial intelligence, Evolutionary programming (computer science)"
Advances in metaheuristics for hard optimization,"Patrick Siarry, Zbigniew Michalewicz",2007,"Mathematical optimization, Heuristic programming, Artificial intelligence, Information theory, Engineering design, Operations research, Combinatorial optimization, Computer algorithms"
The adaptive web,"Peter Brusilovsky, Alfred Kobsa",2007,"World Wide Web, Human-computer interaction, Web sites, Web site development, Subject access, Design, Data mining, Web search engines, Computer networks, Computer science, Artificial intelligence, Information storage and retrieval systems, Web sites, design, World wide web, Assistive computer technology"
Artificial intelligence for advanced problem solving techniques,Ioannis Vlahavas,2008,"Artificial intelligence, Data processing"
AI hakusho,,1991,Artificial intelligence
Applications of Learning Classifier Systems,Larry Bull,2004,"Engineering, Engineering mathematics, Artificial intelligence"
Applications of Soft Computing,Ashutosh Tiwari,2006,"Mathematics, Engineering, Information systems, Engineering mathematics, Artificial intelligence, Soft computing, Congresses, Industrial applications, Neural networks (Computer science), Fuzzy systems"
Applied Computational Intelligence in Engineering and Information Technology,Radu-Emil Precup,2012,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Information technology"
Applied Intelligent Systems,John Fulcher,2004,"Optical pattern recognition, Engineering, Economics, Engineering mathematics, Artificial intelligence, Intelligent control systems"
Artificial Immune Systems and Their Applications,Dipankar Dasgupta,1998,"Biology, Engineering, Computer simulation, Computer science, Data processing, Physics, Artificial intelligence, Computer software, Immune system"
Artificial Intelligence and Computational Intelligence,Jingsheng Lei,2012,"Pattern perception, Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Optical pattern recognition, Algorithm Analysis and Problem Complexity, Computer vision, Computation by Abstract Devices, Artificial Intelligence (incl. Robotics), Data mining, Computer software, Artificial intelligence, Computer science"
Artificial Intelligence,"Nilsson, Nils J.",1998,"Computer vision, Motivation, Artificial intelligence"
Artificial Intelligence in Design,D. T. Pham,1991,"Engineering, Engineering design, Engineering economy, Artificial intelligence"
Artificial Intelligence,Allan Ramsay,2012,"Data Mining and Knowledge Discovery, Information organization, Information storage and retrieval systems, User Interfaces and Human Computer Interaction, Information retrieval, Simulation and Modeling, Computer simulation, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Data mining, Artificial intelligence, Computer science"
An Artificial Intelligence Approach to Test Generation,Narinder Singh,1987,"Systems engineering, Engineering, Computer-aided design, Computer engineering, Artificial intelligence"
Artificial Intelligence in Logic Design,Svetlana N. Yanushkevich,2004,"Computer-aided design, Computer engineering, Symbolic and mathematical Logic, Computer science, Artificial intelligence, Logic design"
